13819-13886 spi-1: 34
14315-14381 spi-1: BE
14819-14885 spi-1: FE
15357-15423 spi-1: FF
15812-15879 spi-1: FA
16308-16375 spi-1: FF
16812-16878 spi-1: CF
17308-17374 spi-1: 3C
39222-39289 spi-1: 34
39726-39792 spi-1: BE
40222-40288 spi-1: FE
40718-40784 spi-1: FF
41215-41280 spi-1: FA
41719-41785 spi-1: FF
42215-42281 spi-1: CF
42711-42777 spi-1: 3C
63632-63698 spi-1: 34
64128-64194 spi-1: BE
64633-64700 spi-1: FE
65129-65195 spi-1: FF
65625-65691 spi-1: FA
66121-66187 spi-1: FF
66626-66693 spi-1: CF
67122-67189 spi-1: 3C
89043-89109 spi-1: 34
89540-89605 spi-1: BE
90036-90103 spi-1: FE
90532-90599 spi-1: FF
91028-91094 spi-1: FA
91532-91598 spi-1: FF
92029-92094 spi-1: CF
92525-92592 spi-1: 3C
113446-113513 spi-1: 34
113942-114009 spi-1: BE
114446-114512 spi-1: FE
114942-115008 spi-1: FF
115480-115546 spi-1: F9
115935-116002 spi-1: FF
116439-116505 spi-1: CF
116935-117001 spi-1: 3C
138352-138418 spi-1: 34
138849-138914 spi-1: BE
139353-139419 spi-1: FE
139849-139915 spi-1: FF
140345-140411 spi-1: F9
140850-140917 spi-1: FF
141346-141413 spi-1: CF
141842-141908 spi-1: 3C
163259-163325 spi-1: 34
163755-163821 spi-1: BE
164260-164327 spi-1: FE
164756-164823 spi-1: FF
165252-165318 spi-1: F9
165748-165814 spi-1: FF
166253-166318 spi-1: CF
166749-166816 spi-1: 3C
188166-188233 spi-1: 34
188662-188728 spi-1: BE
189166-189232 spi-1: FE
189663-189728 spi-1: FF
190159-190226 spi-1: F9
190655-190722 spi-1: FF
191159-191225 spi-1: CF
191655-191721 spi-1: 3C
213073-213138 spi-1: 34
213577-213643 spi-1: BE
214073-214139 spi-1: FE
214569-214635 spi-1: FF
215065-215131 spi-1: F9
215595-215660 spi-1: FF
216066-216132 spi-1: CF
