-> 0xB4; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xAF; 0xBC           0.035274 (sec)
-> 0xB4; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xAF; 0xBC           0.085086 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.1349 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.184712 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.23452599999999998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.284338 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.334152 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.383966 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.433778 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.48359199999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.533404 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.5832339999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.633046 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.68286 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.73269 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.782486 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.832298 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.882112 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.9319259999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           0.981738 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.032544 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.081364 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.131178 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.1819819999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.230886 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.280616 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.33043 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFF; 0xFF; 0xCF; 0x3C           1.380242 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.430056 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.4808599999999998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.529682 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.579494 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.629308 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.6801119999999998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.728934 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.7797399999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.82856 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.878472 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.9291779999999998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           1.977998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.027812 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.0776239999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.12843 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.1772519999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.227064 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.276878 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.3266899999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFE; 0xFF; 0xCF; 0x3C           2.3765039999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.426332 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.477122 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.5259419999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.576748 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.625568 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.675382 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.7251939999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.77514 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.82482 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.874634 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.9244459999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           2.9742599999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.024072 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.073886 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.1236979999999996 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.1735119999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.224318 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.273138 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.323944 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.3727639999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFD; 0xFF; 0xCF; 0x3C           3.4225779999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.47239 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.523196 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.5720159999999996 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.6218299999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.671642 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.721456 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.7722599999999997 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.8210819999999996 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.870894 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.9207899999999998 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFC; 0xFF; 0xCF; 0x3C           3.9705199999999996 (sec)
